t,theta,omega,drive_force_c
28.86,1.2685650905526717,-1.663911106906641,0.9444444444444444
28.87,1.2518432373407415,-1.6804407088137423,0.9444444444444444
28.88,1.234956655018008,-1.69685638744457,0.9444444444444444
28.89,1.2179065028058287,-1.7131541953556053,0.9444444444444444
28.900000000000002,1.2006939787479811,-1.729330131258943,0.9444444444444444
28.91,1.18332032090109,-1.7453801448102122,0.9444444444444444
28.92,1.1657868094320603,-1.7613001400312016,0.9444444444444444
28.93,1.1480947649436146,-1.7770859713018543,0.9444444444444444
28.94,1.1302455502094644,-1.7927334554009642,0.9444444444444444
28.95,1.11224057023009,-1.8082383717970478,0.9444444444444444
28.96,1.0940812722326911,-1.823596462648389,0.9444444444444444
28.97,1.0757691456712384,-1.8388034328029939,0.9444444444444444
28.98,1.0573057225188398,-1.8538549526521195,0.9444444444444444
28.990000000000002,1.038692579275599,-1.8687466699420494,0.9444444444444444
29.0,1.0199313360003703,-1.883474199375852,0.9444444444444444
29.01,1.0010236567299697,-1.8980331391544134,0.9444444444444444
29.02,0.981971249622049,-1.9124190731306003,0.9444444444444444
29.03,0.9627758669550421,-1.9266275708093012,0.9444444444444444
29.04,0.943439305128219,-1.940654187347386,0.9444444444444444
29.05,0.9239634047203585,-1.9544944665578963,0.9444444444444444
29.060000000000002,0.9043500514243855,-1.9681439556436593,0.9444444444444444
29.07,0.8846011759090577,-1.981598194770288,0.9444444444444444
29.080000000000002,0.8647187530615765,-1.994852735053656,0.9444444444444444
29.09,0.8447048019662009,-2.0079031411464836,0.9444444444444444
29.1,0.8245613859041916,-2.020744991238376,0.9444444444444444
29.11,0.8042906123538679,-2.033373877055785,0.9444444444444444
29.12,0.783894632697737,-2.045785411542131,0.9444444444444444
29.13,0.7633756425079341,-2.057975238397305,0.9444444444444444
29.14,0.7427358810845972,-2.0699390289894546,0.9444444444444444
29.150000000000002,0.7219776301168438,-2.0816724982632024,0.9444444444444444
29.16,0.7011032136622951,-2.0931714050723027,0.9444444444444444
29.17,0.6801149981470536,-2.104431552179655,0.9444444444444444
29.18,0.6590153921141647,-2.1154487886658493,0.9444444444444444
29.19,0.6378068450525917,-2.1262190251931523,0.9444444444444444
29.2,0.6164918479756871,-2.136738228571426,0.9444444444444444
29.21,0.5950729309853765,-2.14700243728963,0.9444444444444444
29.22,0.5735526629589738,-2.157007763972441,0.9444444444444444
29.23,0.5519336515491202,-2.1667503953802836,0.9444444444444444
29.240000000000002,0.5302185427884406,-2.1762265947747146,0.9444444444444444
29.25,0.5084100192428256,-2.185432715214001,0.9444444444444444
29.26,0.48651080037973005,-2.194365196968246,0.9444444444444444
29.27,0.4645236396788859,-2.2030205806364904,0.9444444444444444
29.28,0.4424513243112183,-2.2113955088223025,0.9444444444444444
29.29,0.42029667513890845,-2.2194867261337556,0.9444444444444444
29.3,0.3980625453742979,-2.2272910848419274,0.9444444444444444
29.310000000000002,0.37575181920875533,-2.2348055523429715,0.9444444444444444
